name,team,contact,power,discipline,speed,defense,throwing,stamina,durability,mentality,talent,target_avg,target_obp,target_slg,target_ops,target_hr_rate,target_bb_rate,target_k_rate,mc1000_avg,mc1000_obp,mc1000_slg,mc1000_ops,mc1000_hr_rate,mc1000_bb_rate,mc1000_k_rate,fit_error,fit_status,source_season,simulation_model
신민재,LG 트윈스,114,58,110,92,98,100,102,100,100,100,0.2590,0.3410,0.2800,0.6210,0.000000,0.102632,0.128947,0.2732,0.3513,0.3030,0.6543,0.001663,0.103725,0.155683,5.736,good,2026,pitch_by_pitch_hitting_calibration_v3
문현빈,한화 이글스,124,97,113,89,96,100,102,100,100,100,0.2980,0.3800,0.4650,0.8450,0.025243,0.106796,0.126214,0.3138,0.3912,0.4713,0.8625,0.024410,0.109167,0.131642,1.922,excellent,2026,pitch_by_pitch_hitting_calibration_v3
김지찬,삼성 라이온즈,149,57,129,98,100,100,102,100,100,100,0.3330,0.4260,0.3810,0.8070,0.000000,0.128319,0.075221,0.3423,0.4325,0.3794,0.8119,0.001598,0.133378,0.103963,4.782,good,2026,pitch_by_pitch_hitting_calibration_v3
힐리어드,KT 위즈,86,119,102,89,97,100,102,100,100,100,0.2970,0.3650,0.5590,0.9240,0.061876,0.097804,0.285429,0.2747,0.3440,0.5846,0.9286,0.068872,0.091613,0.261765,9.378,good,2026,pitch_by_pitch_hitting_calibration_v3
전민재,롯데 자이언츠,108,94,93,71,99,100,102,100,100,100,0.2720,0.3210,0.3840,0.7050,0.019560,0.061125,0.200489,0.2694,0.3154,0.3894,0.7048,0.019797,0.059375,0.183935,1.520,excellent,2026,pitch_by_pitch_hitting_calibration_v3
양의지,두산 베어스,118,101,113,76,91,100,102,100,100,100,0.2610,0.3670,0.4540,0.8210,0.041215,0.112798,0.112798,0.3087,0.3872,0.4940,0.8812,0.032010,0.109738,0.142993,21.446,engine_limited,2026,pitch_by_pitch_hitting_calibration_v3
류지혁,삼성 라이온즈,121,89,115,128,104,100,101,99,100,100,0.2870,0.3740,0.3970,0.7710,0.011161,0.107143,0.145089,0.2994,0.3820,0.4123,0.7943,0.013517,0.114150,0.135120,2.539,excellent,2026,pitch_by_pitch_hitting_calibration_v3
김현수,KT 위즈,121,87,103,68,91,100,101,99,100,100,0.2750,0.3440,0.3920,0.7360,0.017717,0.088583,0.116142,0.2974,0.3576,0.3877,0.7452,0.012025,0.082102,0.143025,7.731,good,2026,pitch_by_pitch_hitting_calibration_v3
나성범,KIA 타이거즈,90,118,103,68,91,100,101,99,100,100,0.3020,0.3800,0.5520,0.9320,0.056156,0.103672,0.267819,0.2837,0.3538,0.5919,0.9457,0.068168,0.093952,0.246135,13.996,usable,2026,pitch_by_pitch_hitting_calibration_v3
김건희,키움 히어로즈,100,97,100,68,91,100,101,99,100,100,0.2740,0.3270,0.4060,0.7330,0.020725,0.072539,0.259067,0.2504,0.3134,0.3811,0.6945,0.023050,0.080155,0.209622,16.615,usable,2026,pitch_by_pitch_hitting_calibration_v3
최형우,삼성 라이온즈,120,99,154,62,91,100,101,99,100,100,0.3220,0.4120,0.4950,0.9070,0.032922,0.131687,0.166667,0.3102,0.4190,0.4781,0.8971,0.026805,0.153813,0.124552,16.015,usable,2026,pitch_by_pitch_hitting_calibration_v3
박재현,KIA 타이거즈,108,101,95,142,104,100,101,99,100,100,0.2910,0.3300,0.4660,0.7960,0.032468,0.054113,0.192641,0.2795,0.3289,0.4638,0.7927,0.032155,0.065073,0.183295,2.332,excellent,2026,pitch_by_pitch_hitting_calibration_v3
오지환,LG 트윈스,98,97,103,90,94,100,101,99,100,100,0.2320,0.3160,0.3580,0.6740,0.023499,0.096606,0.211488,0.2458,0.3169,0.3784,0.6953,0.022538,0.090528,0.214362,2.036,excellent,2026,pitch_by_pitch_hitting_calibration_v3
김주원,NC 다이노스,119,98,103,113,104,100,101,99,100,100,0.2970,0.3780,0.4600,0.8380,0.033730,0.085317,0.130952,0.3032,0.3625,0.4694,0.8319,0.026720,0.081460,0.146127,3.869,excellent,2026,pitch_by_pitch_hitting_calibration_v3
손성빈,롯데 자이언츠,109,94,97,66,91,100,101,99,100,100,0.2580,0.3220,0.3800,0.7020,0.019608,0.071895,0.176471,0.2720,0.3248,0.3924,0.7172,0.019973,0.068942,0.178742,1.299,excellent,2026,pitch_by_pitch_hitting_calibration_v3
김선빈,KIA 타이거즈,124,49,126,44,91,100,101,99,100,100,0.2760,0.3770,0.3330,0.7100,0.002320,0.125290,0.097448,0.2971,0.3944,0.3162,0.7106,0.001133,0.134903,0.124822,8.178,good,2026,pitch_by_pitch_hitting_calibration_v3
홍창기,LG 트윈스,99,71,135,58,93,100,101,99,100,100,0.2470,0.3810,0.2930,0.6740,0.000000,0.143478,0.217391,0.2364,0.3621,0.2705,0.6326,0.003148,0.160402,0.184912,11.281,usable,2026,pitch_by_pitch_hitting_calibration_v3
