rank,avg_fastball_kmh,season,scope,source_url
110,141.5,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
111,147.8,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
112,147.1,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
113,145.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
114,141.7,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
115,144.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
116,143.1,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
117,139.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
118,147.2,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
119,148.3,2025,30pct_IP_or_more,https://kbo-analytics-2025.vercel.app/
