model,reference_raw,slope,raw_speed,gameplay_speed,AVG,OBP,SLG,BB,K,HR,1B,2B,3B,BABIP,OUT,SB_attempt_rate_per_onbase,SB_success,SB_attempts_per_600PA,SB_per_600PA,CS_per_600PA,first_to_third,second_to_home,DP_avoidance,running_runs_per_PA,total_runs_proxy_per_PA
A_keep_raw_scale,98.10803333333332,1.2,60,54.27036000000001,0.25815235149323634,0.31888,0.3720129827695123,0.08186,0.21372,0.02654,0.18588,0.02428,0.00032,0.3104974331740131,0.67432,0.0004061100677134824,0.5232437417166518,0.06371418616909784,0.033338049171550095,0.030376136997547744,0.29843081407001765,0.3625061376904465,0.4093993018554093,0.015505666262363878,0.0042598662623638504
A_keep_raw_scale,98.10803333333332,1.2,70,66.27036000000001,0.26117682873793163,0.32046,0.38033834913455683,0.08024,0.2124,0.02696,0.18494,0.02792,0.0004,0.31343327454438563,0.67296,0.0021844410789518902,0.5579597172589951,0.344412786175174,0.1921684607946828,0.1522443253804912,0.33720145166805243,0.40633502576254754,0.4526051705667986,0.01718476311404258,0.008844163114042576
A_keep_raw_scale,98.10803333333332,1.2,80,78.27036000000001,0.2595030514385353,0.32052,0.3859633827375763,0.0824,0.21132,0.0279,0.17826,0.03158,0.00038,0.30988531501518324,0.6724,0.01122656740309345,0.6116844371125751,1.7703829769474404,1.0829157147277801,0.6874672622196603,0.38455777916328787,0.46032312919919394,0.5075950465148532,0.019263477183848195,0.01279627718384816
A_keep_raw_scale,98.10803333333332,1.2,90,90.27036000000001,0.2586783178590934,0.32132,0.38898962315674496,0.0845,0.21308,0.02696,0.17222,0.03686,0.00078,0.3106919728777426,0.6724,0.03273305721992347,0.6819354841463765,5.174750685385659,3.5288461139752627,1.645904571410396,0.43809302083019586,0.5210224875289785,0.5706351696053763,0.021868820016867085,0.01649422001686705
A_keep_raw_scale,98.10803333333332,1.2,100,102.27036000000001,0.2580104484109708,0.31826,0.3992599042228994,0.0812,0.21056,0.02736,0.16368,0.04434,0.00168,0.3079837856891082,0.67502,0.06735169781381233,0.7536550295402091,10.546192862342163,7.948191293205227,2.598001569136938,0.49356686157033525,0.5826441117181826,0.6347974239943195,0.02518497753171862,0.021375577531718603
A_keep_raw_scale,98.10803333333332,1.2,110,114.27036000000001,0.26519781629945405,0.32432,0.4371533592883398,0.08046,0.2094,0.02638,0.14136,0.07326,0.00286,0.31806481806481807,0.66946,0.10390900748233366,0.8128703986543374,16.580286498881865,13.47762409614923,3.102662402732635,0.5460976635382345,0.6390475080267084,0.692660848124572,0.028957214128047064,0.03838621412804706
A_keep_raw_scale,98.10803333333332,1.2,120,126.27036000000001,0.2652976786725317,0.32522,0.4424894386133008,0.08156,0.2127,0.02806,0.14028,0.07208,0.00324,0.31814425687640185,0.66814,0.13569625754620118,0.8541188418705045,21.712519344554373,18.545071876661705,3.1674474678926674,0.5917650888194023,0.6859864978450371,0.7394209972645951,0.03247176705898362,0.04395836705898361
A_keep_raw_scale,98.10803333333332,1.2,130,138.27036,0.2678365875377365,0.32578,0.44308581108963363,0.07914,0.21078,0.02772,0.14416,0.0713,0.00346,0.3208277155753561,0.66826,0.15610764033596986,0.8796028924793237,25.021519557776916,22.009000977248544,3.0125185805283734,0.6286068850418607,0.7220515817869755,0.7739705611367548,0.03514292147015827,0.04677752147015829
A_keep_raw_scale,98.10803333333332,1.2,140,150.27036,0.2697129876370626,0.33132,0.45528810449521645,0.08436,0.2103,0.02904,0.13964,0.07376,0.00452,0.3222238651486027,0.66234,0.16670220217603302,0.8940901160623974,27.174032623481928,24.296033982212332,2.877998641269597,0.6565775924979418,0.7480984134007234,0.7978449440597014,0.03699337813926583,0.0547467781392658
A_keep_raw_scale,98.10803333333332,1.2,150,162.27036,0.270639314012808,0.32804,0.4497557798762618,0.0787,0.21158,0.0282,0.14528,0.0713,0.00456,0.32448057283718745,0.66582,0.17180794671533134,0.9019292510558986,27.729060389524673,25.009650669607772,2.7194097199169005,0.6768497348308916,0.7660805151490608,0.8135892273704061,0.038012893561938904,0.05255849356193887
A_keep_raw_scale,98.10803333333332,1.2,160,174.27036,0.27053140096618356,0.32956,0.4508421464943204,0.08092,0.21258,0.0278,0.14332,0.07272,0.0048,0.32538676882274936,0.66334,0.17448384785742008,0.9060667629646459,28.29142527474655,25.633920118345777,2.657505156400775,0.6910529669916465,0.7781118261487918,0.823654401520906,0.03870329152195488,0.05453909152195484
A_keep_raw_scale,98.10803333333332,1.2,180,198.27036,0.27119122597459006,0.32884,0.4520143338038875,0.0791,0.21316,0.0281,0.14434,0.07238,0.00492,0.32611382496615854,0.66496,0.17652793875973852,0.9093354685608322,28.56032811182219,25.970919345814938,2.58940876600725,0.70730899923593,0.7910861810011742,0.8338648857779154,0.03932367895048067,0.054886478950480655
B_prime_110_recenter,110.0,0.4,60,80.0,0.2570950497631362,0.31626,0.3805250119518449,0.07964,0.21428,0.0266,0.1767,0.03284,0.00048,0.3090893035850945,0.67684,0.013472065080802292,0.6210314393726548,2.0962522488076303,1.301838551365167,0.7944136974424632,0.3919762575234507,0.468775297630236,0.5163211477750356,0.019602570379629917,0.009564370379629893
B_prime_110_recenter,110.0,0.4,70,84.0,0.2619135654783914,0.3213,0.3904778476194619,0.08046,0.21142,0.02722,0.17754,0.0356,0.00048,0.31373182552504036,0.67192,0.01922246856291014,0.6436928858857723,3.0386801414374096,1.955976789525633,1.0827033519117766,0.40957543950260783,0.4887861848499757,0.5370634926395963,0.020428678762600305,0.015405078762600315
B_prime_110_recenter,110.0,0.4,80,88.0,0.2605278056003135,0.32078,0.39086791795497106,0.08148,0.21198,0.02732,0.17492,0.03636,0.0007,0.31209328347221815,0.67272,0.02722281763570601,0.6679274455651251,4.296407437061434,2.869688444543449,1.4267189925179844,0.42766821953938505,0.5092716374561741,0.5583833487272641,0.021324396869979403,0.01616259686997941
B_prime_110_recenter,110.0,0.4,90,92.0,0.25812765032075674,0.3177,0.3943024899423725,0.0803,0.21412,0.02894,0.17124,0.03602,0.0012,0.3080811066445968,0.6757,0.0373912324976669,0.6926203224596016,5.8445637257383165,4.048063612356564,1.7965001133817535,0.44608473781940294,0.53,0.58,0.022302052547924722,0.01676445254792472
B_prime_110_recenter,110.0,0.4,100,96.0,0.26430126251632563,0.32404,0.40115367871136265,0.0812,0.21006,0.02798,0.1747,0.03852,0.00164,0.315617838885951,0.66948,0.04866254873586363,0.7170586127491192,7.758157247845672,5.563053473629743,2.1951037742159296,0.4646423637048238,0.550728362543826,0.6016166512727359,0.0233725501255179,0.022523150125517873
B_prime_110_recenter,110.0,0.4,110,100.0,0.2631326874931969,0.32304,0.3995428322629803,0.0813,0.21238,0.02746,0.17354,0.03854,0.0022,0.3156468196682674,0.6702,0.06047428433869158,0.7407337260195027,9.611521503883298,7.11957813628805,2.4919433675952485,0.4831527941681041,0.5712138151500243,0.6229365073604036,0.024517968134959305,0.022859968134959257
B_prime_110_recenter,110.0,0.4,120,104.0,0.2576675089309053,0.31842,0.4061165809880631,0.08184,0.21458,0.02822,0.1587,0.04768,0.00198,0.30851693911395406,0.67474,0.07264636851224861,0.763187445458254,11.38097187754174,8.68581485405331,2.6951570234884303,0.5014296305516208,0.5912247023697641,0.6436788522249643,0.025711565832837027,0.02398456583283702
B_prime_110_recenter,110.0,0.4,130,108.0,0.2626396845796937,0.323,0.4170823621669898,0.08186,0.2167,0.02632,0.15458,0.05764,0.0026,0.3181952838013983,0.67106,0.08495956070109949,0.7840352676720374,13.501433548375928,10.585600066057145,2.915833482318783,0.5192957939323601,0.6105507874939373,0.6635933117582249,0.026974134943029943,0.03009553494302991
B_prime_110_recenter,110.0,0.4,140,112.0,0.26503743036211697,0.32454,0.4327341573816156,0.08096,0.21288,0.02764,0.14764,0.0654,0.0029,0.3182514885338678,0.66876,0.09715068217440478,0.8030032552079482,15.512406937297612,12.456513266760341,3.0558936705372712,0.5365901624842144,0.6290114139014028,0.6824708276620118,0.02824557627065872,0.036656976270658705
B_prime_110_recenter,110.0,0.4,150,116.0,0.2616504642748158,0.32252,0.43885958411439036,0.08244,0.21352,0.02786,0.13626,0.0729,0.00306,0.31385134135880977,0.67064,0.10893992031715856,0.8199399091733438,17.28656912553947,14.17394791871356,3.1126212068259074,0.5531729235712044,0.6464610628664078,0.7001504608876026,0.0294800094047258,0.03885600940472579
B_prime_110_recenter,110.0,0.4,160,120.0,0.26385712730044647,0.324,0.4401829467494283,0.0817,0.21472,0.027,0.13722,0.07524,0.00284,0.31821809689911024,0.66958,0.12006688216341217,0.8348086264114084,19.13962155190521,15.977921177780178,3.161700374125033,0.5689293059216176,0.6627920818635642,0.7165218252611707,0.030700022860151333,0.04095062286015136
B_prime_110_recenter,110.0,0.4,180,128.0,0.26692162273744596,0.32526,0.44788248842919537,0.07958,0.21128,0.02838,0.13976,0.07366,0.00388,0.319202068276632,0.66816,0.13953048344159963,0.8586458126624988,22.32877304175363,19.172507474193043,3.1562655675605886,0.5976392397145591,0.6918548633598026,0.7451387276206947,0.032919903571098794,0.04588130357109875
