stat,baseline,delta_raw,delta_gameplay,dAVG,dOBP,dSLG,dBB,dK,dHR,dBABIP
contact,120,10,6.0,0.012745565110591384,0.011700000000000044,0.022607726414376805,-6.666666666665932e-05,-0.0032000000000000084,0.0019999999999999983,0.01360979193503431
contact,130,1,0.6,0.0010414127168407172,0.0010999999999999899,0.0009306075498392019,0.00019999999999999185,0.0001666666666666483,-0.00020000000000000573,0.0016889279968206883
contact,130,5,3.0,0.0028803796710945018,0.0029333333333333433,0.00566596753774351,0.0003999999999999976,-0.001166666666666677,0.000366666666666661,0.0029580866228650637
contact,130,10,6.0,0.008586832528316102,0.007833333333333359,0.0134222279192312,-0.00010000000000000286,-0.004600000000000021,0.0004999999999999935,0.008679975770746806
contact,140,1,0.6,-3.863325751890523e-05,-0.00020000000000003348,-0.00029688466245608724,-0.0002333333333333354,-0.0002333333333333354,-6.666666666666626e-05,-0.00012356648521921754
contact,140,5,3.0,0.0032655080079776466,0.002466666666666617,0.005484039618087855,-0.0007666666666666655,-0.0018666666666666554,0.00030000000000000165,0.003078481160293134
contact,140,10,6.0,0.009449330247209342,0.008299999999999974,0.016482733382414017,-0.0005666666666666598,-0.004166666666666652,0.0014000000000000054,0.009133381894877446
contact,150,1,0.6,0.00021125629635665444,0.0003333333333332966,0.00024712494210726854,0.00019999999999999185,6.666666666665932e-05,3.333333333332966e-05,0.00030128961511294294
contact,150,5,3.0,0.003456920626747295,0.0031999999999999806,0.005494164652957101,3.333333333332966e-05,-0.0002333333333333354,0.0005333333333333301,0.004003113620257681
contact,150,10,6.0,0.008319950498103357,0.007233333333333314,0.014410785279370342,-0.0006000000000000033,-0.002533333333333332,0.0013333333333333322,0.008492097381310848
power,80,1,0.6,0.00029824291473190545,0.00040000000000001146,0.000863123787401443,0.00016666666666667607,0.0,6.666666666666626e-05,0.000340269653527292
power,80,5,3.0,0.004767498284127203,0.004066666666666663,0.009629899632550565,-0.0003999999999999976,0.0016666666666666496,0.0012333333333333328,0.005765860950971202
power,80,10,6.0,0.008876900552888117,0.007433333333333347,0.01854439579040329,-0.0009333333333333277,0.003866666666666657,0.0023666666666666662,0.011023975389970742
power,90,1,0.6,0.0008698803914461706,0.0007999999999999674,0.0023196810438564364,0.0,0.0002333333333333354,0.0003666666666666679,0.0008911504398864678
power,90,5,3.0,0.005963114012556503,0.005133333333333323,0.012822345480604624,-0.0004666666666666708,-0.00019999999999997797,0.0017666666666666664,0.006082993863824104
power,90,10,6.0,0.012782209963426383,0.011333333333333306,0.026582586246222173,-0.0005666666666666736,-0.0007999999999999952,0.003599999999999999,0.013129084555268566
power,100,1,0.6,0.0015071585351396632,0.0015333333333333865,0.0035320854526590395,0.00019999999999999185,-3.333333333332966e-05,0.0004333333333333342,0.0015794693583966457
power,100,5,3.0,0.004031122945888921,0.0040000000000000036,0.009098008140862646,0.0003999999999999976,9.999999999998899e-05,0.0011666666666666665,0.0042967909700248885
power,100,10,6.0,0.011078272353861218,0.010033333333333339,0.024504123339472106,-0.00020000000000000573,-0.00026666666666666505,0.003066666666666669,0.011646761423953711
power,110,1,0.6,0.0011354017479485168,0.0009666666666666712,0.002866119503434461,-0.00010000000000000286,0.00030000000000002247,0.00040000000000000105,0.001254777457046885
power,110,5,3.0,0.004855647159392462,0.004766666666666641,0.011582621941208071,0.00043333333333332724,0.00033333333333335213,0.0017666666666666664,0.00494724593709861
power,110,10,6.0,0.01115202092088452,0.010266666666666646,0.02415065872883365,6.666666666665932e-05,-0.0005333333333333301,0.0031333333333333317,0.011644359937499793
power,120,1,0.6,0.0012911625435775842,0.0010666666666666602,0.0026042037307082433,-0.0001666666666666622,0.0005666666666666598,0.0003666666666666679,0.0016450461599458732
power,120,5,3.0,0.004885783598495341,0.004666666666666652,0.01166079627296307,0.0002333333333333354,0.0011333333333333195,0.0016333333333333339,0.005580737234408162
