kind,stat,baseline_raw,delta_raw,dAVG,dOBP,dSLG,dBB,dK,dHR,dBABIP,raw,Swing,Whiff,Contact
pa,speed,110,1,0.00014317531021312835,0.00012857142857142234,0.0019885459751829426,0.0,0.0,0.0,0.00018986140117710493,,,,
pa,speed,110,5,0.0006681514476614692,0.0005999999999999894,0.009720012726694205,0.0,0.0,0.0,0.000886019872159971,,,,
pa,speed,110,10,0.001256761056315614,0.0011285714285714232,0.01948775055679286,0.0,0.0,0.0,0.001666561188110427,,,,
pa,speed,110,20,0.0023385300668151143,0.0020999999999999908,0.027266942411708572,0.0,0.0,0.0,0.003101069552559954,,,,
pa,speed,130,1,0.00017492804096497228,0.0001571428571428557,0.00020673313932229043,0.0,0.0,0.0,0.0002321507713737292,,,,
pa,speed,130,5,0.00068380961468123,0.0006142857142856784,0.0009064453031820685,0.0,0.0,0.0,0.000907498469915391,,,,
pa,speed,130,10,0.0010654707949684372,0.0009571428571428231,0.0014630345244343035,0.0,0.0,0.0,0.0014140092438216234,,,,
pa,speed,130,20,0.002099136491579612,0.0018857142857142684,0.002926069048868496,0.0,0.0,0.0,0.0027858092564844172,,,,
pa,speed,150,1,4.7662170535256454e-05,4.285714285717779e-05,6.354956071363826e-05,0.0,0.0,0.0,6.315523556899016e-05,,,,
pa,speed,150,5,0.0002541982428546641,0.00022857142857141133,0.0003812973642819406,0.0,0.0,0.0,0.00033682792303479925,,,,
pa,speed,150,10,0.0006196082169582229,0.0005571428571428672,0.000953243410704907,0.0,0.0,0.0,0.0008210180623973717,,,,
pa,speed,150,20,0.0014934146767710543,0.0013428571428571456,0.002113022893729277,0.0,0.0,0.0,0.0019788640478295427,,,,
pitch,contact,,,,,,,,,,70,0.46831666666666666,0.2932488700665504,0.7067511299334496
pitch,contact,,,,,,,,,,80,0.46825,0.28695497419469657,0.7130450258053035
pitch,contact,,,,,,,,,,90,0.46486666666666665,0.27477412878244656,0.7252258712175534
pitch,contact,,,,,,,,,,100,0.46921666666666667,0.2713742762760629,0.7286257237239371
pitch,contact,,,,,,,,,,110,0.47241666666666665,0.26646674898571177,0.7335332510142882
pitch,contact,,,,,,,,,,120,0.4706,0.25768522453605325,0.7423147754639468
pitch,contact,,,,,,,,,,130,0.4701,0.25203857335318725,0.7479614266468128
pitch,contact,,,,,,,,,,140,0.47068333333333334,0.24645019652278602,0.753549803477214
pitch,contact,,,,,,,,,,150,0.4701666666666667,0.2445232187167671,0.7554767812832329
