search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,h321_baserunning_value,h321_total_value,OPS
CPDS20,25000,5,0,10,5,105,100,110,105,0.3490948,0.008186111286330528,0.3572809112863305,0.779432998005761
CPDS20,25000,5,0,15,0,105,100,115,100,0.3546584,0.006715554765730081,0.3613739547657301,0.790492667110815
CPDS20,25000,5,5,0,10,105,105,100,110,0.347052,0.009841284175183929,0.35689328417518396,0.7811767656650868
CPDS20,25000,5,5,5,5,105,105,105,105,0.3472519999999999,0.008186111286330528,0.3554381112863304,0.7781618244813824
CPDS20,25000,5,5,10,0,105,105,110,100,0.3554824,0.006715554765730081,0.3621979547657301,0.7954532721820426
CPDS20,25000,5,10,0,5,105,110,100,105,0.3518304000000001,0.008186111286330528,0.3600165112863306,0.7917515412436271
CPDS20,25000,5,10,5,0,105,110,105,100,0.3564796,0.006715554765730081,0.3631951547657301,0.8001273333918694
CPDS20,25000,5,15,0,0,105,115,100,100,0.3613316,0.006715554765730081,0.3680471547657301,0.8134572760950098
CPDS20,25000,10,0,0,10,110,100,100,110,0.3476624,0.009841284175183929,0.3575036841751839,0.7815393767656135
CPDS20,25000,10,0,5,5,110,100,105,105,0.3437204,0.008186111286330528,0.3519065112863305,0.7683927143546336
CPDS20,25000,10,0,10,0,110,100,110,100,0.3527647999999999,0.006715554765730081,0.35948035476573,0.7879600599991177
CPDS20,25000,10,5,0,5,110,105,100,105,0.3502952,0.008186111286330528,0.3584813112863305,0.7868075833514927
CPDS20,25000,10,5,5,0,110,105,105,100,0.3521296,0.006715554765730081,0.3588451547657301,0.7890347098302408
CPDS20,25000,10,10,0,0,110,110,100,100,0.35817,0.006715554765730081,0.3648855547657301,0.8046243423799583
CPDS20,25000,15,0,0,5,115,100,100,105,0.3501779999999999,0.008186111286330528,0.3583641112863304,0.7862799930471058
CPDS20,25000,15,0,5,0,115,100,105,100,0.3508479999999999,0.006715554765730081,0.35756355476573,0.7860357909505438
CPDS20,25000,15,5,0,0,115,105,100,100,0.359304,0.006715554765730081,0.3660195547657301,0.8075841692421538
CPDS20,25000,20,0,0,0,120,100,100,100,0.357524,0.006715554765730081,0.3642395547657301,0.8027294310074822
CPDS30,20000,0,0,0,30,100,100,100,130,0.3471875,0.015271066168796192,0.3624585661687962,0.7848330891132096
CPDS30,20000,0,0,5,25,100,100,105,125,0.3517275,0.014173244276748924,0.36590074427674896,0.792809946266038
CPDS30,20000,0,0,10,20,100,100,110,120,0.361908,0.012847958651389615,0.3747559586513896,0.8154413426875936
CPDS30,20000,0,0,15,15,100,100,115,115,0.372703,0.01125171854982462,0.3839547185498246,0.8412816909294514
