search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,baserunning_value,total_value,OPS,SB_per_600,CS_per_600
CPDS20,25000,5,0,5,10,105,100,105,110,0.3435696,0.0029136000000000006,0.3464832,0.770380464055441,16.704,3.7920000000000003
CPDS20,25000,5,0,10,5,105,100,110,105,0.34909480000000004,0.0023888,0.35148360000000006,0.779432998005761,15.432,3.936
CPDS20,25000,5,0,15,0,105,100,115,100,0.3546584,0.0016800000000000005,0.3563384,0.790492667110815,13.607999999999999,4.08
CPDS20,25000,5,5,0,10,105,105,100,110,0.347052,0.0028056000000000005,0.34985760000000005,0.7811767656650868,16.128,3.6719999999999997
CPDS20,25000,5,5,5,5,105,105,105,105,0.34725199999999995,0.0024296000000000005,0.3496815999999999,0.7781618244813824,15.0,3.6719999999999997
CPDS20,25000,5,5,10,0,105,105,110,100,0.3554824,0.0016896000000000003,0.357172,0.7954532721820426,13.536,4.032
CPDS20,25000,5,10,0,5,105,110,100,105,0.3518304000000001,0.0023984000000000006,0.3542288000000001,0.7917515412436271,14.856,3.648
CPDS20,25000,5,10,5,0,105,110,105,100,0.35647960000000006,0.0017096000000000004,0.35818920000000004,0.8001273333918694,13.344,3.912
CPDS20,25000,5,15,0,0,105,115,100,100,0.3613316,0.0016896000000000003,0.3630212,0.8134572760950098,13.032,3.7920000000000003
CPDS20,25000,10,0,0,10,110,100,100,110,0.3476624,0.0028136000000000003,0.350476,0.7815393767656135,16.152,3.6719999999999997
CPDS20,25000,10,0,5,5,110,100,105,105,0.3437204,0.0024288000000000005,0.3461492,0.7683927143546336,15.048000000000002,3.6959999999999997
CPDS20,25000,10,0,10,0,110,100,110,100,0.35276479999999993,0.0016896000000000003,0.35445439999999995,0.7879600599991177,13.536,4.032
CPDS20,25000,10,5,0,5,110,105,100,105,0.35029520000000003,0.0024304000000000005,0.35272560000000003,0.7868075833514927,14.952,3.648
CPDS20,25000,10,5,5,0,110,105,105,100,0.3521296,0.0017264000000000003,0.353856,0.7890347098302408,13.344,3.888
CPDS20,25000,10,10,0,0,110,110,100,100,0.35817,0.0016640000000000003,0.359834,0.8046243423799583,13.056000000000001,3.8400000000000003
CPDS20,25000,15,0,0,5,115,100,100,105,0.35017799999999993,0.0024144,0.3525923999999999,0.7862799930471058,14.904,3.648
CPDS20,25000,15,0,5,0,115,100,105,100,0.35084799999999994,0.0016840000000000004,0.35253199999999996,0.7860357909505438,13.368,3.96
CPDS20,25000,15,5,0,0,115,105,100,100,0.35930400000000007,0.0017280000000000002,0.3610320000000001,0.8075841692421538,13.248,3.8400000000000003
CPDS20,25000,20,0,0,0,120,100,100,100,0.357524,0.0017431999999999999,0.3592672,0.8027294310074822,13.344,3.8640000000000003
CPDS30,20000,0,0,0,30,100,100,100,130,0.34718750000000004,0.004174,0.35136150000000005,0.7848330891132096,21.09,4.08
CPDS30,20000,0,0,5,25,100,100,105,125,0.3517275,0.004330000000000001,0.3560575,0.792809946266038,21.18,3.9
CPDS30,20000,0,0,10,20,100,100,110,120,0.361908,0.004075000000000001,0.365983,0.8154413426875936,20.729999999999997,4.05
CPDS30,20000,0,0,15,15,100,100,115,115,0.372703,0.0033580000000000007,0.37606100000000003,0.8412816909294514,18.39,3.96
CPDS30,20000,0,0,20,10,100,100,120,110,0.3739005,0.0030290000000000004,0.37692950000000003,0.8404413742525105,17.34,3.93
CPDS30,20000,0,0,25,5,100,100,125,105,0.374372,0.0020850000000000005,0.376457,0.8372691539734155,14.76,4.05
CPDS30,20000,0,0,30,0,100,100,130,100,0.373773,0.0015230000000000005,0.375296,0.8318075645756458,13.83,4.41
CPDS30,20000,0,5,0,25,100,105,100,125,0.3567105,0.004083,0.3607935,0.8080688393196762,20.25,3.81
CPDS30,20000,0,5,5,20,100,105,105,120,0.3627725,0.0038190000000000003,0.3665915,0.8203933475924098,19.709999999999997,3.93
CPDS30,20000,0,5,10,15,100,105,110,115,0.3730665,0.003311,0.37637750000000003,0.8429895907473309,18.06,3.87
CPDS30,20000,0,5,15,10,100,105,115,110,0.37873799999999996,0.0030000000000000005,0.38173799999999997,0.8543182603331276,17.189999999999998,3.9
CPDS30,20000,0,5,20,5,100,105,120,105,0.38133900000000004,0.0020859999999999997,0.383425,0.8564359525155456,14.700000000000001,4.0200000000000005
CPDS30,20000,0,5,25,0,100,105,125,100,0.3791565,0.0014430000000000007,0.38059950000000004,0.8486664390606251,13.59,4.41
CPDS30,20000,0,10,0,20,100,110,100,120,0.3643345,0.003622,0.3679565,0.827256584306272,18.93,3.8400000000000003
CPDS30,20000,0,10,5,15,100,110,105,115,0.3704205,0.0030870000000000003,0.3735075,0.8408814004376368,17.01,3.69
CPDS30,20000,0,10,10,10,100,110,110,110,0.3742835,0.0028550000000000003,0.3771385,0.844773431611616,16.44,3.75
CPDS30,20000,0,10,15,5,100,110,115,105,0.380385,0.002101,0.382486,0.8565429670452638,14.43,3.87
CPDS30,20000,0,10,20,0,100,110,120,100,0.385202,0.0013740000000000007,0.386576,0.866157473862673,13.32,4.38
CPDS30,20000,0,15,0,15,100,115,100,115,0.3716525,0.0030100000000000005,0.3746625,0.8452706121784435,16.59,3.6
CPDS30,20000,0,15,5,10,100,115,105,110,0.37380899999999995,0.0027210000000000003,0.3765299999999999,0.8480382997370728,15.66,3.5700000000000003
CPDS30,20000,0,15,10,5,100,115,110,105,0.37901599999999996,0.001973000000000001,0.38098899999999997,0.8548346731718135,13.919999999999998,3.81
CPDS30,20000,0,15,15,0,100,115,115,100,0.381094,0.0013830000000000001,0.382477,0.8577098302055406,12.78,4.11
CPDS30,20000,0,20,0,10,100,120,100,110,0.374894,0.0026830000000000005,0.377577,0.8516768415330253,15.42,3.5100000000000002
CPDS30,20000,0,20,5,5,100,120,105,105,0.374893,0.0018050000000000004,0.376698,0.8487125924910934,13.29,3.75
CPDS30,20000,0,20,10,0,100,120,110,100,0.38346199999999997,0.0014060000000000001,0.384868,0.8652707271115052,12.66,4.0200000000000005
CPDS30,20000,0,25,0,5,100,125,100,105,0.37860299999999997,0.0016880000000000003,0.380291,0.8587347353548527,12.750000000000002,3.66
CPDS30,20000,0,25,5,0,100,125,105,100,0.381028,0.0013590000000000004,0.382387,0.8604481247943854,12.33,3.93
CPDS30,20000,0,30,0,0,100,130,100,100,0.373523,0.0013150000000000006,0.374838,0.8435727803421125,11.819999999999999,3.75
CPDS30,20000,5,0,0,25,105,100,100,125,0.35624049999999996,0.004063,0.36030349999999994,0.8064404038211028,20.19,3.81
CPDS30,20000,5,0,5,20,105,100,105,120,0.359919,0.0037690000000000006,0.363688,0.8138794033701082,19.56,3.93
CPDS30,20000,5,0,10,15,105,100,110,115,0.3701305,0.003293000000000001,0.37342349999999996,0.8362323438020198,17.88,3.81
CPDS30,20000,5,0,15,10,105,100,115,110,0.373332,0.0029600000000000004,0.376292,0.8402107478728169,17.07,3.9
CPDS30,20000,5,0,20,5,105,100,120,105,0.37752050000000004,0.002107,0.37962750000000006,0.8457161646076606,14.700000000000001,3.9899999999999998
