search,dC,dP,dD,dS,C,P,D,S,offensive_value,AVG,OBP,SLG,OPS
CPD30,10,15,5,0,110,115,105,100,0.38145100000000004,0.3069266205988812,0.368125,0.492623670066908,0.860748670066908
CPD30,10,20,0,0,110,120,100,100,0.383254,0.3114517926554133,0.366725,0.49960586044741634,0.8663308604474164
CPD30,15,0,15,0,115,100,115,100,0.37527200000000005,0.30280373831775703,0.375225,0.4665643743897336,0.8417893743897336
CPD30,15,5,10,0,115,105,110,100,0.380822,0.30640606832401307,0.37365,0.48397098721001053,0.8576209872100105
CPD30,15,10,5,0,115,110,105,100,0.3827565,0.30853487797512835,0.3703,0.49301342410849097,0.863313424108491
CPD30,15,15,0,0,115,115,100,100,0.38292874999999993,0.3126700032640627,0.368275,0.49646393210749645,0.8647389321074965
CPD30,20,0,10,0,120,100,110,100,0.37826675,0.3059610705596107,0.37245,0.478959301039593,0.851409301039593
CPD30,20,5,5,0,120,105,105,100,0.38007275,0.3083943106141577,0.3691,0.4878182465948642,0.8569182465948642
CPD30,20,10,0,0,120,110,100,100,0.381686,0.3132180005974851,0.3678,0.49422883680508406,0.8620288368050841
CPD30,25,0,5,0,125,100,105,100,0.37538125000000006,0.30534999725922274,0.366375,0.4786767527270734,0.8450517527270733
CPD30,25,5,0,0,125,105,100,100,0.37866075,0.31201281946820936,0.366725,0.4875200304190771,0.8542450304190772
CPD30,30,0,0,0,130,100,100,100,0.37652375,0.31092573974947696,0.366,0.48256935575904136,0.8485693557590414
CPDS20,0,0,0,20,100,100,100,120,0.33562225,0.2628847773521341,0.321725,0.4333143152117804,0.7550393152117804
CPDS20,0,0,5,15,100,100,105,115,0.33910350000000006,0.2633425618815274,0.32815,0.43238946300814124,0.7605394630081412
CPDS20,0,0,10,10,100,100,110,110,0.34704,0.27047386933281636,0.341475,0.4351510787381948,0.7766260787381948
CPDS20,0,0,15,5,100,100,115,105,0.35337875,0.2763202058626091,0.353175,0.4353602595658984,0.7885352595658984
CPDS20,0,0,20,0,100,100,120,100,0.35776325000000003,0.28354801431832916,0.364525,0.4309873446263987,0.7955123446263987
CPDS20,0,5,0,15,100,105,100,115,0.34502475,0.26970503558042264,0.3278,0.45097506654353847,0.7787750665435385
CPDS20,0,5,5,10,100,105,105,110,0.34355575,0.26934364628761076,0.334025,0.43649030417729506,0.7705153041772951
CPDS20,0,5,10,5,100,105,110,105,0.3505512500000001,0.27518025513033834,0.346575,0.43696616749861344,0.7835411674986135
CPDS20,0,5,15,0,100,105,115,100,0.3562665,0.2844825188440464,0.356875,0.43695936361360666,0.7938343636136067
CPDS20,0,10,0,10,100,110,100,110,0.34828224999999996,0.2755332155957071,0.3334,0.45132454829506863,0.7847245482950687
CPDS20,0,10,5,5,100,110,105,105,0.34729325000000005,0.2758828690502303,0.33975,0.43844593112524677,0.7781959311252468
CPDS20,0,10,10,0,100,110,110,100,0.356193,0.28599442096832106,0.3537,0.44253873560361257,0.7962387356036126
CPDS20,0,15,0,5,100,115,100,105,0.3534015,0.28223943470580243,0.33975,0.45604022285636636,0.7957902228563664
CPDS20,0,15,5,0,100,115,105,100,0.35991075,0.28988850442137637,0.35355,0.4533695831273686,0.8069195831273686
CPDS20,0,20,0,0,100,120,100,100,0.36152575000000003,0.29329889900774775,0.3501,0.46287889085224954,0.8129788908522495
CPDS20,5,0,0,15,105,100,100,115,0.34655425,0.27278651136271076,0.3304,0.45160326898536557,0.7820032689853655
CPDS20,5,0,5,10,105,100,105,110,0.34332575,0.27178349357657433,0.335375,0.43446462322294355,0.7698396232229435
CPDS20,5,0,10,5,105,100,110,105,0.35015175000000004,0.2770974177102959,0.347725,0.43416823672836086,0.7818932367283609
CPDS20,5,0,15,0,105,100,115,100,0.3572635,0.2866231421030699,0.35805,0.4385331296013335,0.7965831296013335
CPDS20,5,5,0,10,105,105,100,110,0.349851,0.27776721961284717,0.33495,0.4533706187386311,0.7883206187386311
CPDS20,5,5,5,5,105,105,105,105,0.34881575,0.2781598487546922,0.341375,0.44072115516343807,0.782096155163438
CPDS20,5,5,10,0,105,105,110,100,0.3568785,0.2878239986750214,0.355,0.4430673254754741,0.7980673254754741
CPDS20,5,10,0,5,105,110,100,105,0.354833,0.2847395889964119,0.342175,0.45696966402087635,0.7991446640208764
CPDS20,5,10,5,0,105,110,105,100,0.3587535,0.289972305245551,0.35265,0.4518083852038718,0.8044583852038718
CPDS20,5,15,0,0,105,115,100,100,0.36296849999999997,0.29552563579491364,0.3525,0.4637562899496804,0.8162562899496804
CPDS20,10,0,0,10,110,100,100,110,0.35102925,0.27939101172383846,0.336175,0.45400021710811983,0.7901752171081198
CPDS20,10,0,5,5,110,100,105,105,0.34700025,0.2779648949861716,0.3408,0.43634820230564914,0.7771482023056491
CPDS20,10,0,10,0,110,100,110,100,0.3548097500000001,0.28671598939929327,0.35405,0.4387422703180212,0.7927922703180212
CPDS20,10,5,0,5,110,105,100,105,0.3550245,0.28580367831102405,0.343725,0.45437479595168134,0.7980997959516813
CPDS20,10,5,5,0,110,105,105,100,0.35591825,0.2893388497684741,0.351575,0.445543469326246,0.7971184693262461
CPDS20,10,10,0,0,110,110,100,100,0.36177275,0.2973215255894817,0.353325,0.4588992719765294,0.8122242719765294
CPDS20,15,0,0,5,115,100,100,105,0.35334899999999997,0.28564060803474484,0.342075,0.451900108577633,0.793975108577633
CPDS20,15,0,5,0,115,100,105,100,0.35458975,0.28926683646920276,0.351225,0.44293813162435297,0.7941631316243529
CPDS20,15,5,0,0,115,105,100,100,0.36206225,0.29787002825472725,0.3539,0.4590849815257553,0.8129849815257553
CPDS20,20,0,0,0,120,100,100,100,0.35909025,0.29714534046771873,0.353075,0.4521009316348426,0.8051759316348426
